
########################################################################################################################################

Country,Year,Calidad regulatoria: estimación,Efectividad del gobierno: estimación,"PIB, PPA (dólares internacionales constantes de 2021)",Población urbana (% de la población total),"PIB, PPA (dólares internacionales constantes de 2021)_log",Población urbana (% de la población total)_minmax,Efectividad del gobierno: estimación_std,Calidad regulatoria: estimación_std
Afganistán,2020,-1.38916301727295,-1.61153948307037,108208794210.783,26.026,11.034262557650846,0.26026,-1.9280933490492391,-1.7879959077628385
Afganistán,2021,-1.31168210506439,-1.67058789730072,85767546197.7544,26.314,10.933322985132042,0.26314,-1.9813167295245517,-1.715280394301871
Afganistán,2022,-1.27180624008179,-1.88003480434418,80415503801.351,26.616,10.905339787140226,0.26616,-2.170102026610851,-1.6778570610671646
Alemania,2020,1.57793474197388,1.31368815898895,5013622134859.6,77.453,12.700151599081932,0.77453,0.7085651590500686,0.9966129836730457
Alemania,2021,1.62516117095947,1.28911292552948,5197622060268.46,77.544,12.715804697037473,0.77544,0.6864142339535784,1.0409347906152682
Alemania,2022,1.52229499816895,1.28929960727692,5268815503768.5,77.648,12.721712991304296,0.77648,0.6865824998384681,0.9443953158076795
Brasil,2020,-0.111011527478695,-0.465709209442139,3615574021216.43,87.073,12.55817725722025,0.8707299999999999,-0.8952974406690025,-0.5884560570817603
Brasil,2021,-0.121613994240761,-0.492990374565125,3787769507879.98,87.317,12.578383543588622,0.8731699999999999,-0.9198873615005125,-0.5984064279870643
Brasil,2022,-0.220437631011009,-0.588259339332581,3902034936764.09,87.555,12.591291153519895,0.87555,-1.0057581918250509,-0.6911519995735953
China,2020,-0.202643379569054,0.643971681594849,26576353594843.0,61.428,13.424495393375983,0.6142799999999999,0.10491516520126651,-0.674452168694315
China,2021,-0.332243531942368,0.80791163444519,28821648700423.3,62.512,13.45971882037168,0.62512,0.25268269798580917,-0.7960813720144587
China,2022,-0.418417632579803,0.494212538003922,29672080421839.5,63.56,13.472347997413916,0.6356,-0.030070472988828274,-0.8769554066156658
Colombia,2020,0.225666418671608,0.00847531855106354,801635488967.235,81.425,11.903976935471652,0.8142499999999999,-0.46789047508250065,-0.2724852066172696
Colombia,2021,0.20214469730854,-0.0478276498615742,888221726895.872,81.74,11.948521392296353,0.8173999999999999,-0.5186392436781372,-0.29456024416712867
Colombia,2022,0.140449166297913,0.01379637978971,952963177224.434,82.05,11.979076119697336,0.8205,-0.4630943282167757,-0.3524612431074735
Corea del Sur,2020,1.02495074272156,1.3701868057251,2383250634761.46,81.414,12.377169717365565,0.81414,0.7594903026085016,0.47763980311607623
